time,open,high,low,close,tick_volume,spread,real_volume
2024-07-27 12:03:00,68312.47,68422.11,68293.15,68395.69,152,0,0
2024-07-27 12:04:00,68398.12,68480.61,68398.12,68448.71,182,0,0
2024-07-27 12:05:00,68450.81,68540.05,68445.43,68498.79,158,0,0
2024-07-27 12:06:00,68501.07,68503.36,68413.39,68453.31,162,0,0
2024-07-27 12:07:00,68453.63,68491.14,68431.54,68459.12,138,0,0
2024-07-27 12:08:00,68460.82,68463.27,68348.63,68429.13,182,0,0
2024-07-27 12:09:00,68429.97,68478.59,68388.25,68459.47,142,0,0
2024-07-27 12:10:00,68454.23,68478.95,68443.22,68469.62,98,0,0
2024-07-27 12:11:00,68468.87,68510.95,68446.18,68466.67,115,0,0
2024-07-27 12:12:00,68464.3,68467.42,68422.66,68430.42,126,0,0
2024-07-27 12:13:00,68433.24,68469.47,68374.15,68390.21,180,0,0
2024-07-27 12:14:00,68396.21,68457.54,68386.27,68394.57,147,0,0
2024-07-27 12:15:00,68403.92,68462.41,68398.19,68452.13,130,0,0
2024-07-27 12:16:00,68449.48,68449.48,68387.78,68412.46,116,0,0
2024-07-27 12:17:00,68412.59,68439.49,68391.43,68417.14,134,0,0
2024-07-27 12:18:00,68414.72,68442.49,68398.04,68411.66,111,0,0
2024-07-27 12:19:00,68406.98,68495.52,68401.94,68486.18,136,0,0
2024-07-27 12:20:00,68482.97,68485.04,68418.49,68474.13,174,0,0
2024-07-27 12:21:00,68476.36,68484.89,68441.71,68441.71,112,0,0
2024-07-27 12:22:00,68439.43,68463.72,68399.83,68417.49,137,0,0
2024-07-27 12:23:00,68420.03,68431.07,68394.72,68408.2,83,0,0
2024-07-27 12:24:00,68408.39,68423.13,68348.9,68349.49,152,0,0
2024-07-27 12:25:00,68347.7,68401.29,68320.16,68372.28,119,0,0
2024-07-27 12:26:00,68373.44,68412.39,68349.97,68350.5,92,0,0
2024-07-27 12:27:00,68350.79,68379.53,68345.39,68358.77,86,0,0
2024-07-27 12:28:00,68356.85,68358.01,68328.17,68343.35,94,0,0
2024-07-27 12:29:00,68344.19,68349.18,68332.19,68341.34,72,0,0
2024-07-27 12:30:00,68341.23,68350.68,68337.55,68350.68,62,0,0
2024-07-27 12:31:00,68352.59,68432.23,68352.59,68361.8,150,0,0
2024-07-27 12:32:00,68361.99,68361.99,68334.8,68353.97,85,0,0
2024-07-27 12:33:00,68354.97,68360.64,68346.18,68353.22,64,0,0
2024-07-27 12:34:00,68353.73,68428.72,68353.73,68423.78,113,0,0
2024-07-27 12:35:00,68425.06,68428.02,68396.97,68416.15,106,0,0
2024-07-27 12:36:00,68421.12,68432.33,68393.93,68405.01,109,0,0
2024-07-27 12:37:00,68403.45,68433.16,68391.41,68397.95,106,0,0
2024-07-27 12:38:00,68404.46,68418.05,68349.06,68368.09,96,0,0
2024-07-27 12:39:00,68363.77,68383.02,68337.01,68357.77,98,0,0
2024-07-27 12:40:00,68357.71,68376.11,68317.76,68348.06,106,0,0
2024-07-27 12:41:00,68350.07,68408.87,68334.0,68376.83,113,0,0
2024-07-27 12:42:00,68381.12,68411.53,68374.34,68392.11,88,0,0
2024-07-27 12:43:00,68396.05,68429.8,68395.08,68419.37,99,0,0
2024-07-27 12:44:00,68421.02,68477.86,68404.06,68477.27,96,0,0
2024-07-27 12:45:00,68472.05,68492.45,68418.23,68476.73,113,0,0
2024-07-27 12:46:00,68480.26,68529.21,68479.1,68492.65,120,0,0
2024-07-27 12:47:00,68495.95,68518.69,68469.19,68469.19,129,0,0
2024-07-27 12:48:00,68473.86,68513.28,68444.98,68505.89,137,0,0
2024-07-27 12:49:00,68508.24,68518.99,68474.57,68518.99,94,0,0
2024-07-27 12:50:00,68513.36,68523.64,68497.48,68523.64,76,0,0
2024-07-27 12:51:00,68520.06,68520.48,68493.7,68494.13,79,0,0
2024-07-27 12:52:00,68490.7,68515.8,68474.53,68507.35,93,0,0
2024-07-27 12:53:00,68501.73,68511.3,68444.53,68444.53,101,0,0
2024-07-27 12:54:00,68448.49,68474.32,68398.56,68398.56,104,0,0
2024-07-27 12:55:00,68393.49,68415.95,68352.37,68377.16,86,0,0
2024-07-27 12:56:00,68380.98,68409.48,68363.55,68384.69,72,0,0
2024-07-27 12:57:00,68382.95,68406.86,68377.36,68398.71,63,0,0
2024-07-27 12:58:00,68401.22,68435.83,68388.31,68411.99,82,0,0
2024-07-27 12:59:00,68413.1,68455.26,68408.36,68455.26,73,0,0
2024-07-27 13:00:00,68454.35,68492.97,68431.07,68431.64,93,0,0
2024-07-27 13:01:00,68432.22,68492.01,68430.95,68482.9,78,0,0
2024-07-27 13:02:00,68483.1,68500.74,68447.82,68478.68,95,0,0
2024-07-27 13:03:00,68478.66,68502.81,68434.81,68480.46,97,0,0
2024-07-27 13:04:00,68480.76,68507.63,68463.89,68494.39,72,0,0
2024-07-27 13:05:00,68490.64,68495.04,68467.82,68476.4,67,0,0
2024-07-27 13:06:00,68473.01,68473.73,68408.57,68447.93,103,0,0
2024-07-27 13:07:00,68452.18,68507.21,68452.18,68493.07,71,0,0
2024-07-27 13:08:00,68493.86,68496.0,68444.3,68494.07,88,0,0
2024-07-27 13:09:00,68495.14,68595.21,68485.89,68549.34,126,0,0
2024-07-27 13:10:00,68554.08,68835.31,68554.08,68802.39,222,0,0
2024-07-27 13:11:00,68804.71,68805.77,68712.86,68749.21,161,0,0
2024-07-27 13:12:00,68752.69,68813.34,68710.74,68813.34,149,0,0
2024-07-27 13:13:00,68813.48,68822.35,68731.19,68754.2,136,0,0
2024-07-27 13:14:00,68764.92,68930.09,68758.71,68877.89,147,0,0
2024-07-27 13:15:00,68883.79,68906.13,68793.43,68867.45,153,0,0
2024-07-27 13:16:00,68874.24,68884.44,68770.72,68798.71,122,0,0
2024-07-27 13:17:00,68798.43,68872.34,68733.67,68802.71,137,0,0
2024-07-27 13:18:00,68805.93,68952.71,68779.49,68889.07,153,0,0
2024-07-27 13:19:00,68894.14,68915.16,68800.54,68813.0,124,148,0
2024-07-27 13:20:00,68813.12,68820.69,68787.28,68787.28,75,0,0
2024-07-27 13:21:00,68787.28,68824.72,68764.17,68818.78,86,0,0
2024-07-27 13:22:00,68816.47,68820.97,68768.22,68795.58,101,0,0
2024-07-27 13:23:00,68795.99,68857.79,68792.03,68798.33,91,0,0
2024-07-27 13:24:00,68801.07,68840.18,68786.68,68827.31,93,0,0
